id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,sentiment_score,compound
9.3534e+17,Thank you Rand!,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4199}",0.4199
8.99798e+17,"Join me live from Fort Myer in Arlington, Virginia. ➡️",36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296
8.9397e+17,Thank you Nicole!,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4199}",0.4199
8.81977e+17,Thank you to Shawn Steel for the nice words on .,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.6486}",0.6486
8.77846e+17,Great night in Iowa - special people. Thank you!,56446,8039,2017-06-22 11:11:00,2017-06-22 19:11:00,2017-06-22,19:11:00,19,2017,6,"{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.8622}",0.8622
8.78725e+17,MAKE AMERICA GREAT AGAIN!,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6,"{'neg': 0.0, 'neu': 0.406, 'pos': 0.594, 'compound': 0.6588}",0.6588
8.74084e+17,"My daughter, Ivanka, will be on tomorrow morning. Enjoy!",50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5411}",0.5411
8.62999e+17,The Fake Media is working overtime today!,65939,15809,2017-12-05 11:53:00,2017-12-05 19:53:00,2017-12-05,19:53:00,19,2017,12,"{'neg': 0.361, 'neu': 0.639, 'pos': 0.0, 'compound': -0.5255}",-0.5255
8.60089e+17,Congratulations to on its unbelievable ratings hike.,31683,5238,2017-04-05 11:07:00,2017-04-05 19:07:00,2017-04-05,19:07:00,19,2017,4,"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.6908}",0.6908
8.52985e+17,Weekly Address-,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
8.32375e+17,'Trump signs bill undoing Obama coal mining rule',79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.0651e+18,AMERICA FIRST!,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.05848e+18,"JOBS, JOBS, JOBS!",50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.05087e+18,,39087,8232,2018-12-10 22:02:00,2018-12-11 06:02:00,2018-12-11,06:02:00,6,2018,12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.0462e+18,,54237,12617,2018-09-30 00:51:00,2018-09-30 08:51:00,2018-09-30,08:51:00,8,2018,9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.04106e+18,Thank you !,30020,5917,2018-09-15 20:26:00,2018-09-16 04:26:00,2018-09-16,04:26:00,4,2018,9,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.4199}",0.4199
1.04043e+18,Gina is Great!,35481,7208,2018-09-14 02:37:00,2018-09-14 10:37:00,2018-09-14,10:37:00,10,2018,9,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}",0.6588
1.03789e+18,MAKE AMERICA GREAT AGAIN!,57264,13708,2018-07-09 02:38:00,2018-07-09 10:38:00,2018-07-09,10:38:00,10,2018,7,"{'neg': 0.0, 'neu': 0.406, 'pos': 0.594, 'compound': 0.6588}",0.6588
1.03491e+18,,90355,31460,2018-08-29 20:55:00,2018-08-30 04:55:00,2018-08-30,04:55:00,4,2018,8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1.01991e+18,Really big jobs meeting today at the White House! P.M.,52570,8804,2018-07-19 11:37:00,2018-07-19 19:37:00,2018-07-19,19:37:00,19,2018,7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.66119e+17,"So true, thank you!",82845,17050,2018-02-21 01:14:00,2018-02-21 09:14:00,2018-02-21,09:14:00,9,2018,2,"{'neg': 0.0, 'neu': 0.245, 'pos': 0.755, 'compound': 0.7322}",0.7322
1.01994e+18,“Trump recognized Russian Meddling MANY TIMES.”,2539,809,2018-07-19 01:27:00,2018-07-19 09:27:00,2018-07-19,09:27:00,9,2018,7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.48319e+17,"Congratulations to Senator Orrin Hatch on an absolutely incredible career. He has been a tremendous supporter, and I will never forget the (beyond kind) statements he has made about me as President. He is my friend and he will be greatly missed in the U.S. Senate!",53678,9691,2018-02-01 22:23:00,2018-02-02 06:23:00,2018-02-02,06:23:00,6,2018,2,"{'neg': 0.047, 'neu': 0.741, 'pos': 0.212, 'compound': 0.8255}",0.8255
9.48356e+17,"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger &amp, more powerful one than his, and my Button works!",430222,153496,2018-03-01 00:49:00,2018-03-01 08:49:00,2018-03-01,08:49:00,8,2018,3,"{'neg': 0.041, 'neu': 0.851, 'pos': 0.108, 'compound': 0.5833}",0.5833
9.4836e+17,"I will be announcing THE MOST DISHONEST &amp, CORRUPT MEDIA AWARDS OF THE YEAR on Monday at :00 o’clock. Subjects will cover Dishonesty &amp, Bad Reporting in various categories from the Fake News Media. Stay tuned!",164894,39474,2018-03-01 01:05:00,2018-03-01 09:05:00,2018-03-01,09:05:00,9,2018,3,"{'neg': 0.262, 'neu': 0.658, 'pos': 0.079, 'compound': -0.8631}",-0.8631
9.48404e+17,"“President Trump has something now he didn’t have a year ago, that is a set of accomplishments that nobody can deny. The accomplishments are there, look at his record, he has had a very significant first year.” Show,David Asman &amp, Ed Rollins",82534,16495,2018-03-01 04:03:00,2018-03-01 12:03:00,2018-03-01,12:03:00,12,2018,3,"{'neg': 0.058, 'neu': 0.892, 'pos': 0.05, 'compound': -0.079}",-0.079
9.48722e+17,"Melania and I are deeply saddened by the death of Thomas S. Monson, a beloved President of the Church of Jesus Christ of Latter-day Saints...",50667,10029,2018-04-01 01:06:00,2018-04-01 09:06:00,2018-04-01,09:06:00,9,2018,4,"{'neg': 0.246, 'neu': 0.647, 'pos': 0.107, 'compound': -0.6478}",-0.6478
9.48738e+17,"“Some U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in k matches and spending on charity, a much higher number than previously known.”",57755,13178,2018-04-01 02:07:00,2018-04-01 10:07:00,2018-04-01,10:07:00,10,2018,4,"{'neg': 0.049, 'neu': 0.771, 'pos': 0.18, 'compound': 0.6808}",0.6808
9.48739e+17,"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of ,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to %. Only getting better!",90710,15696,2018-04-01 02:11:00,2018-04-01 10:11:00,2018-04-01,10:11:00,10,2018,4,"{'neg': 0.118, 'neu': 0.745, 'pos': 0.137, 'compound': -0.1386}",-0.1386
9.48872e+17,"Many mostly Democrat States refused to hand over data from the Election to the Commission On Voter Fraud. They fought hard that the Commission not see their records or methods because they know that many people are voting illegally. System is rigged, must go to Voter I.D.",93479,24611,2018-04-01 11:02:00,2018-04-01 19:02:00,2018-04-01,19:02:00,19,2018,4,"{'neg': 0.216, 'neu': 0.727, 'pos': 0.057, 'compound': -0.7906}",-0.7906
9.48875e+17,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do.....except when it comes to the most important thing, VOTING for the people that run your country. Push hard for Voter Identification!",131113,31942,2018-04-01 11:11:00,2018-04-01 19:11:00,2018-04-01,19:11:00,19,2018,4,"{'neg': 0.033, 'neu': 0.826, 'pos': 0.141, 'compound': 0.6786}",0.6786
9.4888e+17,"With all of the failed “experts” weighing in, does anybody really believe that talks and dialogue would be going on between North and South Korea right now if I wasn’t firm, strong and willing to commit our total “might” against the North. Fools, but talks are a good thing!",79155,15366,2018-04-01 11:32:00,2018-04-01 19:32:00,2018-04-01,19:32:00,19,2018,4,"{'neg': 0.078, 'neu': 0.776, 'pos': 0.146, 'compound': 0.5635}",0.5635
9.48881e+17,So beautiful....Show this picture to the NFL players who still kneel!,100807,26681,2018-04-01 11:37:00,2018-04-01 19:37:00,2018-04-01,19:37:00,19,2018,4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
9.49066e+17,"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL, stop illegal immigration, end chain migration &amp, cancel the visa lottery. The current system is unsafe &amp, unfair to the great people of our country - time for change!",116304,23628,2018-04-01 23:53:00,2018-04-02 07:53:00,2018-04-02,07:53:00,7,2018,4,"{'neg': 0.175, 'neu': 0.657, 'pos': 0.167, 'compound': 0.2714}",0.2714
9.49071e+17,MAKING AMERICA GREAT AGAIN!,79061,17547,2018-05-01 00:11:00,2018-05-01 08:11:00,2018-05-01,08:11:00,8,2018,5,"{'neg': 0.0, 'neu': 0.406, 'pos': 0.594, 'compound': 0.6588}",0.6588
9.49127e+17,"I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spoke to him for book. Full of lies, misrepresentations and sources that don’t exist. Look at this guy’s past and watch what happens to him and Sloppy Steve!",84431,18374,2018-05-01 03:52:00,2018-05-01 11:52:00,2018-05-01,11:52:00,11,2018,5,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.5242}",-0.5242
9.49129e+17,"The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if “O” was president and had these numbers - would be biggest story on earth! Dow now over ,000.",109266,21941,2018-05-01 04:04:00,2018-05-01 12:04:00,2018-05-01,12:04:00,12,2018,5,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.5696}",-0.5696
9.49243e+17,"Dow goes from ,589 on November , , to ,075 today, for a new all-time Record. Jumped points in last weeks, Record fastest point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",104714,21478,2018-05-01 11:35:00,2018-05-01 19:35:00,2018-05-01,19:35:00,19,2018,5,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8436}",0.8436
9.49496e+17,Good idea Rand!,100976,23528,2018-06-01 04:19:00,2018-06-01 12:19:00,2018-06-01,12:19:00,12,2018,6,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4926}",0.4926
9.49499e+17,"Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon, who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad!",73499,18306,2018-06-01 04:32:00,2018-06-01 12:32:00,2018-06-01,12:32:00,12,2018,6,"{'neg': 0.297, 'neu': 0.662, 'pos': 0.04, 'compound': -0.9425}",-0.9425
9.49609e+17,"The African American unemployment rate fell to %, the lowest rate in years. I am so happy about this News! And, in the Washington Post (of all places), headline states, “Trumps first year jobs numbers were very, very good.”",122595,25626,2018-06-01 11:49:00,2018-06-01 19:49:00,2018-06-01,19:49:00,19,2018,6,"{'neg': 0.127, 'neu': 0.769, 'pos': 0.104, 'compound': 0.1364}",0.1364
9.49611e+17,"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",100329,18049,2018-06-01 11:57:00,2018-06-01 19:57:00,2018-06-01,19:57:00,19,2018,6,"{'neg': 0.258, 'neu': 0.742, 'pos': 0.0, 'compound': -0.9318}",-0.9318
9.50104e+17,"The Fake News Awards, those going to the most corrupt &amp, biased of the Mainstream Media, will be presented to the losers on Wednesday, January th, rather than this coming Monday. The interest in, and importance of, these awards is far greater than anyone could have anticipated!",126448,28946,2018-07-01 20:35:00,2018-07-02 04:35:00,2018-07-02,04:35:00,4,2018,7,"{'neg': 0.143, 'neu': 0.627, 'pos': 0.23, 'compound': 0.6628}",0.6628
9.50105e+17,"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",84850,15850,2018-07-01 20:42:00,2018-07-02 04:42:00,2018-07-02,04:42:00,4,2018,7,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9259}",0.9259
9.50206e+17,"“His is turning out to be an enormously consequential presidency. So much so that, despite my own frustration over his missteps, there has never been a day when I wished Hillary Clinton were president. Not one. Indeed, as Trump’s accomplishments accumulate, the mere thought of...",70013,13215,2018-08-01 03:23:00,2018-08-01 11:23:00,2018-08-01,11:23:00,11,2018,8,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.3724}",0.3724
9.50207e+17,"...Clinton in the WH, doubling down on Barack Obama’s failed policies, washes away any doubts that America made the right choice. This was truly a change election — and the changes Trump is bringing are far-reaching &amp, necessary.” Thank you Michael Goodwin!",70174,14702,2018-08-01 03:24:00,2018-08-01 11:24:00,2018-08-01,11:24:00,11,2018,8,"{'neg': 0.123, 'neu': 0.763, 'pos': 0.114, 'compound': -0.1007}",-0.1007
