id,cleaned_text,favorites,retweets,date,date_part,time_part,hour,year,month
9.38423e+17,MAKE AMERICA GREAT AGAIN!,157963,37189,2017-06-12 15:00:00,2017-06-12,15:00:00,15,2017,6
9.39189e+17,MAKE AMERICA GREAT AGAIN! ,56596,11433,2017-08-12 17:46:00,2017-08-12,17:46:00,17,2017,8
9.3534e+17,Thank you Rand! ,42793,9125,2017-11-28 02:50:00,2017-11-28,02:50:00,2,2017,11
9.25389e+17,Thank you @LuisRiveraMarin! ,23521,4574,2017-10-31 15:48:00,2017-10-31,15:48:00,15,2017,10
8.99798e+17,"Join me live from Fort Myer in Arlington, Virginia. ➡️",36009,4891,2017-08-22 01:00:00,2017-08-22,01:00:00,1,2017,8
8.9397e+17,Thank you Nicole! ,43367,8275,2017-05-08 23:01:00,2017-05-08,23:01:00,23,2017,5
8.91344e+17,U.S. Stock Market up almost 20% since Election!,88855,17565,2017-07-29 17:04:00,2017-07-29,17:04:00,17,2017,7
8.81977e+17,Thank you to Shawn Steel for the nice words on @FoxNews.,50956,7465,2017-03-07 20:44:00,2017-03-07,20:44:00,20,2017,3
8.77846e+17,Great night in Iowa - special people. Thank you!,56446,8039,2017-06-22 11:11:00,2017-06-22,11:11:00,11,2017,6
8.78725e+17,MAKE AMERICA GREAT AGAIN!,134210,36346,2017-06-24 21:23:00,2017-06-24,21:23:00,21,2017,6
8.74084e+17,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",50169,6877,2017-12-06 02:02:00,2017-12-06,02:02:00,2,2017,12
8.60581e+17,#WeeklyAddress🇺🇸 ,32928,7962,2017-05-05 19:43:00,2017-05-05,19:43:00,19,2017,5
8.62999e+17,The Fake Media is working overtime today!,65939,15809,2017-12-05 11:53:00,2017-12-05,11:53:00,11,2017,12
8.56148e+17,"Thank you Lake Worth, Florida. @foxandfriends",29218,3842,2017-04-23 14:07:00,2017-04-23,14:07:00,14,2017,4
8.60089e+17,Congratulations to @foxandfriends on its unbelievable ratings hike.,31683,5238,2017-04-05 11:07:00,2017-04-05,11:07:00,11,2017,4
8.52985e+17,Weekly Address-  ,28250,5616,2017-04-14 20:41:00,2017-04-14,20:41:00,20,2017,4
8.41665e+17,"JOBS, JOBS, JOBS! ",83629,19677,2017-03-14 15:00:00,2017-03-14,15:00:00,15,2017,3
8.32375e+17,'Trump signs bill undoing Obama coal mining rule' ,79427,15157,2017-02-16 23:44:00,2017-02-16,23:44:00,23,2017,2
1.07755e+18,Merry Christmas!,447174,72055,2018-12-25 12:59:00,2018-12-25,12:59:00,12,2018,12
1.07325e+18,WITCH HUNT!,88440,18748,2018-12-13 16:08:00,2018-12-13,16:08:00,16,2018,12
1.07103e+18,China talks are going very well!,77764,11947,2018-07-12 13:13:00,2018-07-12,13:13:00,13,2018,7
