id,cleaned_text,favorites,retweets,date,date_new,date_part,time_part,hour,year,month,cleaned_text2,emoji_free_tweets,url_free_tweets
9.38423e+17,make america great again!,157963,37189,2017-06-12 15:00:00,2017-06-12 23:00:00,2017-06-12,23:00:00,23,2017,6,make america great again,make america great again!,make america great again!
9.39189e+17,make america great again! ,56596,11433,2017-08-12 17:46:00,2017-08-13 01:46:00,2017-08-13,01:46:00,1,2017,8,make america great again,make america great again!,make america great again!
9.3534e+17,thank you rand! ,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11,thank you rand,thank you rand!,thank you rand!
9.25389e+17,thank you @luisriveramarin! ,23521,4574,2017-10-31 15:48:00,2017-10-31 23:48:00,2017-10-31,23:48:00,23,2017,10,thank you luisriveramarin,thank you @luisriveramarin!,thank you @luisriveramarin!
8.99798e+17,"join me live from fort myer in arlington, virginia. ➡️",36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8,join me live from fort myer in arlington virginia,"join me live from fort myer in arlington, virginia.","join me live from fort myer in arlington, virginia."
8.9397e+17,thank you nicole! ,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5,thank you nicole,thank you nicole!,thank you nicole!
8.91344e+17,u.s. stock market up almost 20% since election!,88855,17565,2017-07-29 17:04:00,2017-07-30 01:04:00,2017-07-30,01:04:00,1,2017,7,us stock market up almost  since election,u.s. stock market up almost 20% since election!,u.s. stock market up almost 20% since election!
8.81977e+17,thank you to shawn steel for the nice words on @foxnews.,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3,thank you to shawn steel for the nice words on foxnews,thank you to shawn steel for the nice words on @foxnews.,thank you to shawn steel for the nice words on @foxnews.
8.77846e+17,great night in iowa - special people. thank you!,56446,8039,2017-06-22 11:11:00,2017-06-22 19:11:00,2017-06-22,19:11:00,19,2017,6,great night in iowa  special people thank you,great night in iowa - special people. thank you!,great night in iowa - special people. thank you!
8.78725e+17,make america great again!,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6,make america great again,make america great again!,make america great again!
