id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month
9.3534e+17,thank you rand,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11
8.99798e+17,join me live from fort myer in arlington virginia,36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8
8.9397e+17,thank you nicole,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5
8.81977e+17,thank you to shawn steel for the nice words on,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3
8.77846e+17,great night in iowa special people thank you,56446,8039,2017-06-22 11:11:00,2017-06-22 19:11:00,2017-06-22,19:11:00,19,2017,6
8.78725e+17,make america great again,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6
8.74084e+17,my daughter ivanka will be on tomorrow morning enjoy,50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12
8.62999e+17,the fake media is working overtime today,65939,15809,2017-12-05 11:53:00,2017-12-05 19:53:00,2017-12-05,19:53:00,19,2017,12
8.60089e+17,congratulations to on its unbelievable ratings hike,31683,5238,2017-04-05 11:07:00,2017-04-05 19:07:00,2017-04-05,19:07:00,19,2017,4
8.52985e+17,weekly address,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4
8.32375e+17,trump signs bill undoing obama coal mining rule,79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2
1.0651e+18,america first,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11
1.05848e+18,jobs jobs jobs,50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2
1.05087e+18,,39087,8232,2018-12-10 22:02:00,2018-12-11 06:02:00,2018-12-11,06:02:00,6,2018,12
1.0462e+18,,54237,12617,2018-09-30 00:51:00,2018-09-30 08:51:00,2018-09-30,08:51:00,8,2018,9
1.04106e+18,thank you,30020,5917,2018-09-15 20:26:00,2018-09-16 04:26:00,2018-09-16,04:26:00,4,2018,9
1.04043e+18,gina is great,35481,7208,2018-09-14 02:37:00,2018-09-14 10:37:00,2018-09-14,10:37:00,10,2018,9
1.03789e+18,make america great again,57264,13708,2018-07-09 02:38:00,2018-07-09 10:38:00,2018-07-09,10:38:00,10,2018,7
1.03491e+18,,90355,31460,2018-08-29 20:55:00,2018-08-30 04:55:00,2018-08-30,04:55:00,4,2018,8
1.01991e+18,really big jobs meeting today at the white house p m,52570,8804,2018-07-19 11:37:00,2018-07-19 19:37:00,2018-07-19,19:37:00,19,2018,7
9.66119e+17,so true thank you,82845,17050,2018-02-21 01:14:00,2018-02-21 09:14:00,2018-02-21,09:14:00,9,2018,2
1.01994e+18,trump recognized russian meddling many times,2539,809,2018-07-19 01:27:00,2018-07-19 09:27:00,2018-07-19,09:27:00,9,2018,7
9.48319e+17,congratulations to senator orrin hatch on an absolutely incredible career he has been a tremendous supporter and i will never forget the beyond kind statements he has made about me as president he is my friend and he will be greatly missed in the u s senate,53678,9691,2018-02-01 22:23:00,2018-02-02 06:23:00,2018-02-02,06:23:00,6,2018,2
9.48356e+17,north korean leader kim jong un just stated that the nuclear button is on his desk at all times will someone from his depleted and food starved regime please inform him that i too have a nuclear button but it is a much bigger amp more powerful one than his and my button works,430222,153496,2018-03-01 00:49:00,2018-03-01 08:49:00,2018-03-01,08:49:00,8,2018,3
9.4836e+17,i will be announcing the most dishonest amp corrupt media awards of the year on monday at oclock subjects will cover dishonesty amp bad reporting in various categories from the fake news media stay tuned,164894,39474,2018-03-01 01:05:00,2018-03-01 09:05:00,2018-03-01,09:05:00,9,2018,3
9.48404e+17,president trump has something now he didnt have a year ago that is a set of accomplishments that nobody can deny the accomplishments are there look at his record he has had a very significant first year show david asman amp ed rollins,82534,16495,2018-03-01 04:03:00,2018-03-01 12:03:00,2018-03-01,12:03:00,12,2018,3
9.48722e+17,melania and i are deeply saddened by the death of thomas s monson a beloved president of the church of jesus christ of latterday saints,50667,10029,2018-04-01 01:06:00,2018-04-01 09:06:00,2018-04-01,09:06:00,9,2018,4
9.48738e+17,some u s companies have responded to president trumps tax cut and reform victory in congress last year by handing out bonuses up to increases in k matches and spending on charity a much higher number than previously known,57755,13178,2018-04-01 02:07:00,2018-04-01 10:07:00,2018-04-01,10:07:00,10,2018,4
9.48739e+17,stock market had another good day but now that the tax cut bill has passed we have tremendous upward potential dow just short of a number that few thought would be possible this soon into my administration also unemployment went down to only getting better,90710,15696,2018-04-01 02:11:00,2018-04-01 10:11:00,2018-04-01,10:11:00,10,2018,4
9.48872e+17,many mostly democrat states refused to hand over data from the election to the commission on voter fraud they fought hard that the commission not see their records or methods because they know that many people are voting illegally system is rigged must go to voter i d,93479,24611,2018-04-01 11:02:00,2018-04-01 19:02:00,2018-04-01,19:02:00,19,2018,4
9.48875e+17,as americans you need identification sometimes in a very strong and accurate form for almost everything you do except when it comes to the most important thing voting for the people that run your country push hard for voter identification,131113,31942,2018-04-01 11:11:00,2018-04-01 19:11:00,2018-04-01,19:11:00,19,2018,4
9.4888e+17,with all of the failed experts weighing in does anybody really believe that talks and dialogue would be going on between north and south korea right now if i wasnt firm strong and willing to commit our total might against the north fools but talks are a good thing,79155,15366,2018-04-01 11:32:00,2018-04-01 19:32:00,2018-04-01,19:32:00,19,2018,4
9.48881e+17,so beautiful show this picture to the nfl players who still kneel,100807,26681,2018-04-01 11:37:00,2018-04-01 19:37:00,2018-04-01,19:37:00,19,2018,4
9.49066e+17,thank you to the great republican senators who showed up to our mtg on immigration reform we must build the wall stop illegal immigration end chain migration amp cancel the visa lottery the current system is unsafe amp unfair to the great people of our country time for change,116304,23628,2018-04-01 23:53:00,2018-04-02 07:53:00,2018-04-02,07:53:00,7,2018,4
9.49071e+17,making america great again,79061,17547,2018-05-01 00:11:00,2018-05-01 08:11:00,2018-05-01,08:11:00,8,2018,5
9.49127e+17,i authorized zero access to white house actually turned him down many times for author of phony book i never spoke to him for book full of lies misrepresentations and sources that dont exist look at this guys past and watch what happens to him and sloppy steve,84431,18374,2018-05-01 03:52:00,2018-05-01 11:52:00,2018-05-01,11:52:00,11,2018,5
9.49129e+17,the fake news media barely mentions the fact that the stock market just hit another new record and that business in the u s is booming but the people know can you imagine if o was president and had these numbers would be biggest story on earth dow now over,109266,21941,2018-05-01 04:04:00,2018-05-01 12:04:00,2018-05-01,12:04:00,12,2018,5
9.49243e+17,dow goes from on november to today for a new alltime record jumped points in last weeks record fastest point move in history this is all about the make america great again agenda jobs jobs jobs six trillion dollars in value created,104714,21478,2018-05-01 11:35:00,2018-05-01 19:35:00,2018-05-01,19:35:00,19,2018,5
9.49496e+17,good idea rand,100976,23528,2018-06-01 04:19:00,2018-06-01 12:19:00,2018-06-01,12:19:00,12,2018,6
9.49499e+17,michael wolff is a total loser who made up stories in order to sell this really boring and untruthful book he used sloppy steve bannon who cried when he got fired and begged for his job now sloppy steve has been dumped like a dog by almost everyone too bad,73499,18306,2018-06-01 04:32:00,2018-06-01 12:32:00,2018-06-01,12:32:00,12,2018,6
9.49609e+17,the african american unemployment rate fell to the lowest rate in years i am so happy about this news and in the washington post of all places headline states trumps first year jobs numbers were very very good,122595,25626,2018-06-01 11:49:00,2018-06-01 19:49:00,2018-06-01,19:49:00,19,2018,6
9.49611e+17,brian ross the reporter who made a fraudulent live newscast about me that drove the stock market down points billions of dollars was suspended for a month but is now back at abc news in a lower capacity he is no longer allowed to report on trump should have been fired,100329,18049,2018-06-01 11:57:00,2018-06-01 19:57:00,2018-06-01,19:57:00,19,2018,6
9.50104e+17,the fake news awards those going to the most corrupt amp biased of the mainstream media will be presented to the losers on wednesday january th rather than this coming monday the interest in and importance of these awards is far greater than anyone could have anticipated,126448,28946,2018-07-01 20:35:00,2018-07-02 04:35:00,2018-07-02,04:35:00,4,2018,7
9.50105e+17,the stock market has been creating tremendous benefits for our country in the form of not only record setting stock prices but present and future jobs jobs jobs seven trillion dollars of value created since our big election win,84850,15850,2018-07-01 20:42:00,2018-07-02 04:42:00,2018-07-02,04:42:00,4,2018,7
9.50206e+17,his is turning out to be an enormously consequential presidency so much so that despite my own frustration over his missteps there has never been a day when i wished hillary clinton were president not one indeed as trumps accomplishments accumulate the mere thought of,70013,13215,2018-08-01 03:23:00,2018-08-01 11:23:00,2018-08-01,11:23:00,11,2018,8
9.50207e+17,clinton in the wh doubling down on barack obamas failed policies washes away any doubts that america made the right choice this was truly a change election and the changes trump is bringing are farreaching amp necessary thank you michael goodwin,70174,14702,2018-08-01 03:24:00,2018-08-01 11:24:00,2018-08-01,11:24:00,11,2018,8
9.50502e+17,we have been working every day to deliver for americas farmers just as they work every day to deliver for us,49232,9116,2018-08-01 22:58:00,2018-08-02 06:58:00,2018-08-02,06:58:00,6,2018,8
9.50502e+17,in every decision we make we are honoring americas proud farming legacy years of crushing taxes crippling regs amp corrupt politics left our communities hurting our economy stagnant amp millions of hardworking americans completely forgotten but they are not forgotten anymore,69129,14128,2018-08-01 22:59:00,2018-08-02 06:59:00,2018-08-02,06:59:00,6,2018,8
9.50507e+17,we are fighting for our farmers for our country and for our great american flag we want our flag respected and we want our national anthem respected also,89774,17493,2018-08-01 23:19:00,2018-08-02 07:19:00,2018-08-02,07:19:00,7,2018,8
9.50824e+17,it was my great honor to sign h r the martin luther king jr national historical park act which redesignates the martin luther king junior national historic site in the state of georgia as the martin luther king jr national historical park,62081,13524,2018-09-01 20:17:00,2018-09-02 04:17:00,2018-09-02,04:17:00,4,2018,9
1.03983e+18,,47198,10900,2018-12-09 11:03:00,2018-12-09 19:03:00,2018-12-09,19:03:00,19,2018,12
9.4514e+17,merry christmas,128584,26247,2017-12-25 03:51:00,2017-12-25 11:51:00,2017-12-25,11:51:00,11,2017,12
9.47614e+17,happy new year we are making america great again and much faster than anyone thought possible,166739,32589,2017-12-31 23:43:00,2018-01-01 07:43:00,2018-01-01,07:43:00,7,2018,1
9.47593e+17,as our country rapidly grows stronger and smarter i want to wish all of my friends supporters enemies haters and even the very dishonest fake news media a happy and healthy new year will be a great year for america,169966,36017,2017-12-31 22:18:00,2018-01-01 06:18:00,2018-01-01,06:18:00,6,2018,1
9.47588e+17,iran the number one state of sponsored terror with numerous violations of human rights occurring on an hourly basis has now closed down the internet so that peaceful demonstrators cannot communicate not good,93121,25822,2017-12-31 22:00:00,2018-01-01 06:00:00,2018-01-01,06:00:00,6,2018,1
9.47328e+17,trump rally stocks put in the record books,55336,10928,2017-12-31 04:46:00,2017-12-31 12:46:00,2017-12-31,12:46:00,12,2017,12
9.47236e+17,jobs are kicking in and companies are coming back to the u s unnecessary regulations and high taxes are being dramatically cut and it will only get better much more to come,106921,20115,2017-12-30 22:42:00,2017-12-31 06:42:00,2017-12-31,06:42:00,6,2017,12
9.47235e+17,i use social media not because i like to but because it is the only way to fight a very dishonest and unfair press now often referred to as fake news media phony and nonexistent sources are being used more often than ever many stories amp reports a pure fiction,179632,42893,2017-12-30 22:36:00,2017-12-31 06:36:00,2017-12-31,06:36:00,6,2017,12
9.47214e+17,on taxes this is the biggest corporate rate cut ever going back to the corporate income tax rate of roughly years agothis is a huge progrowth stimulus for the economy every year the obama wh overstated how the economy would grow now real economics and jobs report,66759,13561,2017-12-30 21:12:00,2017-12-31 05:12:00,2017-12-31,05:12:00,5,2017,12
9.4695e+17,many reports of peaceful protests by iranian citizens fed up with regimes corruption amp its squandering of the nations wealth to fund terrorism abroad iranian govt should respect their peoples rights including right to express themselves the world is watching,119278,33702,2017-12-30 03:42:00,2017-12-30 11:42:00,2017-12-30,11:42:00,11,2017,12
9.46532e+17,in the east it could be the coldest new years eve on record perhaps we could use a little bit of that good old global warming that our country but not other countries was going to pay trillions of dollars to protect against bundle up,174817,51213,2017-12-29 00:01:00,2017-12-29 08:01:00,2017-12-29,08:01:00,8,2017,12
9.4652e+17,together we are making america great again,58339,12232,2017-12-28 23:14:00,2017-12-29 07:14:00,2017-12-29,07:14:00,7,2017,12
