id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month
9.3534e+17,thank rand,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11
8.99798e+17,join live fort myer arlington virginia,36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8
8.9397e+17,thank nicole,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5
8.81977e+17,thank shawn steel nice word,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3
8.77846e+17,great night iowa special people thank,56446,8039,2017-06-22 11:11:00,2017-06-22 19:11:00,2017-06-22,19:11:00,19,2017,6
8.78725e+17,make america great,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6
8.74084e+17,daughter ivanka tomorrow morning enjoy,50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12
8.62999e+17,fake medium working overtime today,65939,15809,2017-12-05 11:53:00,2017-12-05 19:53:00,2017-12-05,19:53:00,19,2017,12
8.60089e+17,congratulation unbelievable rating hike,31683,5238,2017-04-05 11:07:00,2017-04-05 19:07:00,2017-04-05,19:07:00,19,2017,4
8.52985e+17,weekly address,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4
8.32375e+17,trump sign bill undoing obama coal mining rule,79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2
1.0651e+18,america first,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11
1.05848e+18,job job job,50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2
1.05087e+18,,39087,8232,2018-12-10 22:02:00,2018-12-11 06:02:00,2018-12-11,06:02:00,6,2018,12
1.0462e+18,,54237,12617,2018-09-30 00:51:00,2018-09-30 08:51:00,2018-09-30,08:51:00,8,2018,9
1.04106e+18,thank,30020,5917,2018-09-15 20:26:00,2018-09-16 04:26:00,2018-09-16,04:26:00,4,2018,9
1.04043e+18,gina great,35481,7208,2018-09-14 02:37:00,2018-09-14 10:37:00,2018-09-14,10:37:00,10,2018,9
1.03789e+18,make america great,57264,13708,2018-07-09 02:38:00,2018-07-09 10:38:00,2018-07-09,10:38:00,10,2018,7
1.03491e+18,,90355,31460,2018-08-29 20:55:00,2018-08-30 04:55:00,2018-08-30,04:55:00,4,2018,8
1.01991e+18,really big job meeting today white house p,52570,8804,2018-07-19 11:37:00,2018-07-19 19:37:00,2018-07-19,19:37:00,19,2018,7
9.66119e+17,true thank,82845,17050,2018-02-21 01:14:00,2018-02-21 09:14:00,2018-02-21,09:14:00,9,2018,2
1.01994e+18,trump recognized russian meddling many time,2539,809,2018-07-19 01:27:00,2018-07-19 09:27:00,2018-07-19,09:27:00,9,2018,7
9.48319e+17,congratulation senator orrin hatch absolutely incredible career ha tremendous supporter never forget beyond kind statement ha made president friend greatly missed u senate,53678,9691,2018-02-01 22:23:00,2018-02-02 06:23:00,2018-02-02,06:23:00,6,2018,2
9.48356e+17,north korean leader kim jong un stated nuclear button desk time someone depleted food starved regime please inform nuclear button much bigger powerful one button work,430222,153496,2018-03-01 00:49:00,2018-03-01 08:49:00,2018-03-01,08:49:00,8,2018,3
9.4836e+17,announcing dishonest corrupt medium award year monday clock subject cover dishonesty bad reporting various category fake news medium stay tuned,164894,39474,2018-03-01 01:05:00,2018-03-01 09:05:00,2018-03-01,09:05:00,9,2018,3
9.48404e+17,president trump ha something year ago set accomplishment nobody deny accomplishment look record ha significant first year show david asman ed rollins,82534,16495,2018-03-01 04:03:00,2018-03-01 12:03:00,2018-03-01,12:03:00,12,2018,3
9.48722e+17,melania deeply saddened death thomas monson beloved president church jesus christ latterday saint,50667,10029,2018-04-01 01:06:00,2018-04-01 09:06:00,2018-04-01,09:06:00,9,2018,4
9.48738e+17,u company responded president trump tax cut reform victory congress last year handing bonus increase k match spending charity much higher number previously known,57755,13178,2018-04-01 02:07:00,2018-04-01 10:07:00,2018-04-01,10:07:00,10,2018,4
9.48739e+17,stock market another good day tax cut bill ha passed tremendous upward potential dow short number thought would possible soon administration also unemployment went getting better,90710,15696,2018-04-01 02:11:00,2018-04-01 10:11:00,2018-04-01,10:11:00,10,2018,4
9.48872e+17,many mostly democrat state refused hand data election commission voter fraud fought hard commission see record method know many people voting illegally system rigged must go voter,93479,24611,2018-04-01 11:02:00,2018-04-01 19:02:00,2018-04-01,19:02:00,19,2018,4
